Date,Open,High,Low,Close,Volume
2022-08-08,415.25,417.62,411.82999,412.98999,54025965.0
2022-08-09,412.22,412.75,410.22,411.35001,44931772.0
2022-08-10,418.78,420.14001,416.72,419.98999,68665712.0
2022-08-11,422.98999,424.95001,419.20999,419.98999,59489704.0
2022-08-12,422.03,427.20999,421.03,427.10001,61694542.0
2022-08-15,424.76501,429.41,424.70999,428.85999,54048280.0
2022-08-16,427.73001,431.73001,426.88,429.70001,59289039.0
2022-08-17,425.91,429.5,424.54001,426.64999,63563394.0
2022-08-18,426.85999,428.60999,425.5,427.89001,49023206.0
2022-08-19,424.98001,425.26001,421.22,422.14001,68016902.0
2022-08-22,417.04999,417.23001,412.39999,413.35001,77695640.0
2022-08-23,412.89999,415.42001,411.76999,412.35001,49105249.0
2022-08-24,412.10999,415.11011,411.39001,413.67001,49177804.0
2022-08-25,415.23999,419.56,414.09,419.51001,50942252.0
2022-08-26,419.39001,419.95999,405.25,405.31,103086976.0
2022-08-29,402.20001,405.84,401.19989,402.63,65370810.0
2022-08-30,403.85001,404.10001,396.0,398.20999,85652443.0
2022-08-31,399.92999,401.23999,395.04001,395.17999,76029671.0
2022-09-01,392.89001,396.78,390.04001,396.42001,78740084.0
2022-09-02,400.28,401.55499,390.32999,392.23999,99632149.0
2022-09-06,393.13,394.12,388.42001,390.76001,76637400.0
2022-09-07,390.42999,398.59,390.20001,397.78,70964232.0
2022-09-08,395.39001,400.85999,394.12,400.38,80821681.0
2022-09-09,402.73999,407.51001,402.45999,406.60001,76706918.0
2022-09-12,408.78,411.73001,408.45999,410.97,69256262.0
2022-09-13,401.82999,403.10001,391.92001,393.10001,122947081.0
2022-09-14,394.47,396.20001,391.12,394.60001,85023747.0
2022-09-15,392.95999,395.95999,388.78,390.12,87633840.0
2022-09-16,384.14001,386.25,382.10999,385.56,103084819.0
2022-09-19,382.26001,388.54999,382.17841,388.54999,73278490.0
2022-09-20,385.06,386.12,381.19501,384.09,77274882.0
2022-09-21,386.10999,389.31,377.38,377.39001,106746554.0
2022-09-22,376.57999,378.29999,373.44,374.22,89472641.0
2022-09-23,370.57999,370.62,363.29001,367.95001,122346933.0
2022-09-26,366.41,370.20999,363.02991,364.31,92581244.0
2022-09-27,368.01999,370.39999,360.87,363.38,108294074.0
2022-09-28,364.38,372.29999,362.60001,370.53,110802217.0
2022-09-29,366.81,367.10999,359.70001,362.79001,112952315.0
2022-09-30,361.79999,365.91,357.04001,357.17999,153711243.0
2022-10-03,361.07999,368.54999,359.20999,366.60999,89756479.0
2022-10-04,372.39999,378.0,366.56769,377.97,103602775.0
2022-10-05,373.39001,379.45999,370.95001,377.09,88065669.0
2022-10-06,375.62,378.72,372.67999,373.20001,82333543.0
2022-10-07,368.97,373.2933,360.94,362.79001,107789498.0
2022-10-10,363.95999,364.20999,357.67001,360.01999,76042765.0
2022-10-11,358.23499,363.03,355.70999,357.73999,92482785.0
2022-10-12,358.17001,359.8179,356.29999,356.56,76991799.0
2022-10-13,349.20499,367.51001,348.10999,365.97,147254518.0
2022-10-14,368.54999,370.26001,356.95999,357.63,123737013.0
2022-10-17,364.01001,367.97989,357.28079,366.82001,93168231.0
2022-10-18,375.13,375.45001,367.51999,371.13,97162850.0
2022-10-19,368.98999,371.85001,365.54999,368.5,79746863.0
2022-10-20,368.03,372.67001,364.60999,365.41,88283087.0
2022-10-21,365.12,374.79999,363.54001,374.29001,131038379.0
2022-10-24,375.89001,380.06,373.10999,378.87,85436907.0
2022-10-25,378.79001,385.25,378.67099,384.92001,78846348.0
2022-10-26,381.62,387.57999,381.35001,382.01999,104087348.0
2022-10-27,383.07001,385.0,379.32999,379.98001,81971756.0
2022-10-28,379.87,389.51999,379.67999,389.01999,100301958.0
2022-10-31,386.44,388.39999,385.26001,386.20999,96631258.0
2022-11-01,390.14001,390.39001,383.29001,384.51999,85407598.0
2022-11-02,383.89999,388.63,374.76001,374.87,126990356.0
2022-11-03,371.465,374.20001,368.79001,371.01001,87100115.0
2022-11-04,377.0,378.87,370.0,376.35001,103505182.0
2022-11-07,377.70999,380.57001,375.53,379.95001,68286947.0
2022-11-08,381.10999,385.12,377.72,382.0,84641062.0
2022-11-09,379.92999,381.14001,373.60999,374.13,78495470.0
2022-11-10,388.04999,395.04001,385.642,394.69,141455847.0
2022-11-11,395.59,399.35001,393.60999,398.51001,93839872.0
2022-11-14,396.66,400.1799,394.82999,395.12,71893165.0
2022-11-15,401.14999,402.31,394.48999,398.48999,93194452.0
2022-11-16,396.78,397.78,394.79001,395.45001,68508454.0
